https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume KMD,Volume USDT,tradecount
1697414400000,2023-10-16,KMDUSDT,0.2113,0.228,0.2111,0.2218,3417812.0,749932.5069,8477
1697328000000,2023-10-15,KMDUSDT,0.2117,0.214,0.209,0.2113,996559.0,210643.7977,2356
1697241600000,2023-10-14,KMDUSDT,0.2091,0.2142,0.2089,0.212,593317.0,125512.1851,1753
1697155200000,2023-10-13,KMDUSDT,0.2072,0.2129,0.2064,0.2096,1009023.0,211555.9321,2709
1697068800000,2023-10-12,KMDUSDT,0.2113,0.2134,0.2057,0.2071,894162.0,186536.4739,2783
1696982400000,2023-10-11,KMDUSDT,0.2177,0.2212,0.206,0.2118,2887744.0,612301.7564,5641
1696896000000,2023-10-10,KMDUSDT,0.2102,0.2318,0.2088,0.2176,9003007.0,1995899.5936,22480
1696809600000,2023-10-09,KMDUSDT,0.218,0.2185,0.2089,0.2102,852028.0,180724.4441,2158
1696723200000,2023-10-08,KMDUSDT,0.2186,0.2204,0.215,0.2177,581365.0,126252.1791,1596
1696636800000,2023-10-07,KMDUSDT,0.2195,0.2221,0.2173,0.2183,619106.0,135939.8063,2194
1696550400000,2023-10-06,KMDUSDT,0.2187,0.2219,0.2153,0.2197,755409.0,165371.4448,2297
1696464000000,2023-10-05,KMDUSDT,0.2219,0.2224,0.2173,0.2186,704051.0,154561.667,2418
1696377600000,2023-10-04,KMDUSDT,0.221,0.2271,0.2163,0.2217,2026348.0,446374.8118,5299
1696291200000,2023-10-03,KMDUSDT,0.221,0.2398,0.2187,0.2208,9394336.0,2142072.5856,22613
1696204800000,2023-10-02,KMDUSDT,0.2241,0.2254,0.2183,0.221,1464986.0,325174.5752,4259
1696118400000,2023-10-01,KMDUSDT,0.2191,0.2254,0.2185,0.2242,1072308.0,238424.9272,2761
1696032000000,2023-09-30,KMDUSDT,0.2226,0.2228,0.2183,0.2193,967244.0,213024.0504,1917
1695945600000,2023-09-29,KMDUSDT,0.2179,0.2259,0.2177,0.2221,2300994.0,511036.9067,4855
1695859200000,2023-09-28,KMDUSDT,0.2146,0.2208,0.2135,0.2178,1093744.0,237085.5165,2568
1695772800000,2023-09-27,KMDUSDT,0.2188,0.222,0.2127,0.2145,1443312.0,313733.0625,3040
1695686400000,2023-09-26,KMDUSDT,0.2224,0.2259,0.2169,0.2186,1522927.0,336422.5171,3384
1695600000000,2023-09-25,KMDUSDT,0.2225,0.2266,0.219,0.2224,1344612.0,298847.1171,3514
1695513600000,2023-09-24,KMDUSDT,0.2326,0.2397,0.2205,0.2226,3472152.0,792712.4441,8837
1695427200000,2023-09-23,KMDUSDT,0.2229,0.2445,0.2211,0.2323,10892007.0,2528705.1422,24542
1695340800000,2023-09-22,KMDUSDT,0.2251,0.2283,0.2196,0.2231,1592085.0,355107.7212,4009
1695254400000,2023-09-21,KMDUSDT,0.2244,0.2323,0.2165,0.2255,4699781.0,1057548.8877,11418
1695168000000,2023-09-20,KMDUSDT,0.2256,0.2263,0.2208,0.2243,870681.0,194406.0143,2766
1695081600000,2023-09-19,KMDUSDT,0.218,0.2302,0.2172,0.2256,2747499.0,618199.1253,7868
