https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTCDOWN,Volume USDT,tradecount
1694908800000,2023-09-17,BTCDOWNUSDT,0.008869,0.00899,0.008801,0.00887,37837004.63,336044.43164514,3529
1694822400000,2023-09-16,BTCDOWNUSDT,0.00883,0.00895,0.0087,0.008875,41125896.37,364269.47970164,3473
1694736000000,2023-09-15,BTCDOWNUSDT,0.008924,0.009121,0.00862,0.00883,69498197.38,618526.35888569,7038
1694649600000,2023-09-14,BTCDOWNUSDT,0.009157,0.009207,0.008609,0.00892,87379989.55,779081.49267552,9794
1694563200000,2023-09-13,BTCDOWNUSDT,0.009476,0.009527,0.009009,0.009157,60586369.68,558686.80051299,6157
1694476800000,2023-09-12,BTCDOWNUSDT,0.010021,0.010078,0.008855,0.009475,107854356.04,1007740.2739467,12086
1694390400000,2023-09-11,BTCDOWNUSDT,0.009484,0.010244,0.009416,0.010012,68797639.87,678305.97055292,14008
1694304000000,2023-09-10,BTCDOWNUSDT,0.009453,0.00969,0.009342,0.009471,27979830.48,265943.96679033,3174
1694217600000,2023-09-09,BTCDOWNUSDT,0.009438,0.009518,0.0094,0.009444,12287780.13,116238.55142872,1217
1694131200000,2023-09-08,BTCDOWNUSDT,0.009185,0.009628,0.00903,0.009426,46523022.86,434990.93110433,5749
1694044800000,2023-09-07,BTCDOWNUSDT,0.009536,0.009653,0.009022,0.009185,42209182.46,394761.30207482,4865
1693958400000,2023-09-06,BTCDOWNUSDT,0.009502,0.009858,0.00934,0.009552,33381077.0,320102.48901937,3949
1693872000000,2023-09-05,BTCDOWNUSDT,0.009484,0.009687,0.009435,0.009511,43858685.82,419397.06770155,4310
1693785600000,2023-09-04,BTCDOWNUSDT,0.009383,0.009633,0.009285,0.009485,39059493.86,368702.22369892,3547
1693699200000,2023-09-03,BTCDOWNUSDT,0.00945,0.009514,0.009252,0.009383,27758401.68,260974.38726932,2252
1693612800000,2023-09-02,BTCDOWNUSDT,0.009495,0.009551,0.009374,0.009469,41922905.64,397054.82207382,4251
1693526400000,2023-09-01,BTCDOWNUSDT,0.009391,0.009875,0.009209,0.0095,87532118.33,829983.31443854,10927
1693440000000,2023-08-31,BTCDOWNUSDT,0.008394,0.0096,0.008193,0.009385,114490684.76,1017653.37770245,14948
1693353600000,2023-08-30,BTCDOWNUSDT,0.00811,0.008615,0.008086,0.008395,98278803.26,821923.29198718,10878
1693267200000,2023-08-29,BTCDOWNUSDT,0.009453,0.00963,0.007781,0.008114,191157247.72,1595494.89853375,17248
1693180800000,2023-08-28,BTCDOWNUSDT,0.009467,0.009651,0.009354,0.009446,28813456.91,274119.80333387,4835
1693094400000,2023-08-27,BTCDOWNUSDT,0.009556,0.00959,0.009389,0.009473,18289872.09,173399.43962368,3788
1693008000000,2023-08-26,BTCDOWNUSDT,0.009508,0.009569,0.009471,0.00955,9563336.42,91072.46763418,1121
1692921600000,2023-08-25,BTCDOWNUSDT,0.009407,0.009724,0.009306,0.009508,32177540.52,306489.91998718,5986
1692835200000,2023-08-24,BTCDOWNUSDT,0.009213,0.009667,0.009117,0.009407,33910065.94,317710.29977993,4322
1692748800000,2023-08-23,BTCDOWNUSDT,0.009513,0.009733,0.008905,0.009213,68929705.07,644646.05168459,9389
1692662400000,2023-08-22,BTCDOWNUSDT,0.00947,0.0101,0.009442,0.009505,54575093.34,526689.68667508,6100
1692576000000,2023-08-21,BTCDOWNUSDT,0.009412,0.0097,0.009365,0.009477,35017173.83,333583.02230088,3492
1692489600000,2023-08-20,BTCDOWNUSDT,0.009457,0.009581,0.009326,0.009411,26887731.71,253984.64881621,3096
1692403200000,2023-08-19,BTCDOWNUSDT,0.0095,0.009715,0.009314,0.009458,42774644.74,407450.61538364,6947
1692316800000,2023-08-18,BTCDOWNUSDT,0.009059,0.009841,0.00892,0.009509,80933050.25,754688.85845633,12841
1692230400000,2023-08-17,BTCDOWNUSDT,0.007638,0.0105,0.007609,0.009044,159340641.35,1353267.3083722,30141
1692144000000,2023-08-16,BTCDOWNUSDT,0.007356,0.00765,0.0073,0.00764,57596076.93,428155.93213974,7671
1692057600000,2023-08-15,BTCDOWNUSDT,0.007206,0.007423,0.007188,0.007351,41859690.69,304805.98431933,5873
1691971200000,2023-08-14,BTCDOWNUSDT,0.00728,0.0074,0.007061,0.007193,59413580.52,428188.42609515,6691
1691884800000,2023-08-13,BTCDOWNUSDT,0.007195,0.00729,0.007167,0.00728,21365117.83,154382.98475553,2187
1691798400000,2023-08-12,BTCDOWNUSDT,0.007197,0.007233,0.007162,0.007191,14189062.94,102118.29568996,1721
1691712000000,2023-08-11,BTCDOWNUSDT,0.007189,0.007299,0.007114,0.007197,34298205.29,246724.29914285,5487
1691625600000,2023-08-10,BTCDOWNUSDT,0.007104,0.007233,0.007023,0.00719,44423359.59,316739.42200615,7336
1691539200000,2023-08-09,BTCDOWNUSDT,0.007003,0.007208,0.006793,0.00711,72245310.57,507444.16536804,10883
1691452800000,2023-08-08,BTCDOWNUSDT,0.007343,0.007409,0.00673,0.007,107717717.72,764372.88734718,11958
1691366400000,2023-08-07,BTCDOWNUSDT,0.007405,0.007623,0.007286,0.007339,51161460.31,380186.06754145,6126
1691280000000,2023-08-06,BTCDOWNUSDT,0.007408,0.007453,0.007314,0.007408,25746801.94,190482.57778103,2860
1691193600000,2023-08-05,BTCDOWNUSDT,0.007367,0.007467,0.007345,0.007406,25544595.88,189210.85910926,2069
1691107200000,2023-08-04,BTCDOWNUSDT,0.007324,0.007555,0.007242,0.007369,43311950.88,318311.59239558,4759
1691020800000,2023-08-03,BTCDOWNUSDT,0.007323,0.007438,0.007185,0.007331,49043258.22,358440.52725727,5581
1690934400000,2023-08-02,BTCDOWNUSDT,0.007019,0.007463,0.006833,0.007318,117024618.37,834046.21732706,12296
1690848000000,2023-08-01,BTCDOWNUSDT,0.007271,0.007663,0.007002,0.007019,97732062.8,721022.00770756,11705
1690761600000,2023-07-31,BTCDOWNUSDT,0.007249,0.007346,0.007113,0.007272,52718303.45,380979.45510544,4346
1690675200000,2023-07-30,BTCDOWNUSDT,0.00721,0.007398,0.00715,0.007254,41926421.05,304012.66394715,4453
1690588800000,2023-07-29,BTCDOWNUSDT,0.007228,0.007269,0.007179,0.00721,23549244.9,170135.25455823,1782
1690502400000,2023-07-28,BTCDOWNUSDT,0.007274,0.007333,0.007112,0.007226,48900240.35,353892.14210109,4770
1690416000000,2023-07-27,BTCDOWNUSDT,0.007204,0.007355,0.007085,0.007273,51098732.12,368379.76998765,4121
1690329600000,2023-07-26,BTCDOWNUSDT,0.007262,0.007344,0.007031,0.007204,55256073.68,398076.44341989,5702
1690243200000,2023-07-25,BTCDOWNUSDT,0.007283,0.007359,0.00719,0.007266,40417024.57,294126.07738841,4330
1690156800000,2023-07-24,BTCDOWNUSDT,0.006787,0.007467,0.006785,0.007282,95261721.28,684387.90903036,13605
1690070400000,2023-07-23,BTCDOWNUSDT,0.006933,0.00697,0.006638,0.006787,52907097.64,361586.50815571,4791
1689984000000,2023-07-22,BTCDOWNUSDT,0.006891,0.007022,0.006818,0.006926,37399381.97,258405.41346148,2850
1689897600000,2023-07-21,BTCDOWNUSDT,0.006925,0.006969,0.006772,0.006891,54926772.13,378748.76979828,4874
1689811200000,2023-07-20,BTCDOWNUSDT,0.006873,0.007058,0.006613,0.006928,95697691.4,653439.17906819,11682
1689724800000,2023-07-19,BTCDOWNUSDT,0.006889,0.00695,0.00671,0.006869,72919040.97,498359.2657795,7055
1689638400000,2023-07-18,BTCDOWNUSDT,0.006738,0.007088,0.006691,0.006885,81875019.26,562904.04505571,8267
1689552000000,2023-07-17,BTCDOWNUSDT,0.006698,0.007,0.006643,0.006738,80141488.12,542836.40007814,8085
1689465600000,2023-07-16,BTCDOWNUSDT,0.006662,0.006775,0.006581,0.0067,48526354.05,323313.39667059,4769
1689379200000,2023-07-15,BTCDOWNUSDT,0.006645,0.006687,0.006593,0.006658,38891597.12,258621.76844998,3966
1689292800000,2023-07-14,BTCDOWNUSDT,0.006104,0.00685,0.00604,0.006645,210330613.14,1351448.2108329,30765
1689206400000,2023-07-13,BTCDOWNUSDT,0.00663,0.006695,0.005933,0.006099,208923322.78,1314497.32969629,25971
1689120000000,2023-07-12,BTCDOWNUSDT,0.006527,0.006718,0.006353,0.006627,87980220.98,574544.8985434,8670
1689033600000,2023-07-11,BTCDOWNUSDT,0.006619,0.006676,0.006435,0.006527,74812475.63,491801.61373805,6893
1688947200000,2023-07-10,BTCDOWNUSDT,0.006743,0.00684,0.006319,0.006612,121293791.88,803027.7295103,11951
1688860800000,2023-07-09,BTCDOWNUSDT,0.006688,0.006789,0.006605,0.006747,40402982.64,270218.49144141,2981
