https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume STMX,Volume BUSD,tradecount
1691971200000,2023-08-14,STMXBUSD,0.006759,0.006833,0.006629,0.006705,24060290.0,161246.31722,1147
1691884800000,2023-08-13,STMXBUSD,0.006798,0.006964,0.006643,0.006755,49910238.0,338761.344342,2653
1691798400000,2023-08-12,STMXBUSD,0.007147,0.007219,0.00672,0.006797,74147712.0,511460.249428,3965
1691712000000,2023-08-11,STMXBUSD,0.006389,0.007432,0.00637,0.007154,241290095.0,1684819.034816,15382
1691625600000,2023-08-10,STMXBUSD,0.006538,0.006538,0.006268,0.006388,24063807.0,152517.895972,1628
1691539200000,2023-08-09,STMXBUSD,0.006756,0.00684,0.006439,0.006542,73534301.0,483587.566489,3742
1691452800000,2023-08-08,STMXBUSD,0.006952,0.00704,0.006623,0.006753,79385094.0,535934.626437,4541
1691366400000,2023-08-07,STMXBUSD,0.006747,0.007175,0.006575,0.006966,136373897.0,933586.04738,9376
1691280000000,2023-08-06,STMXBUSD,0.006853,0.00725,0.006544,0.006758,125023192.0,861894.757166,6951
1691193600000,2023-08-05,STMXBUSD,0.007535,0.007556,0.006725,0.006867,186894124.0,1319509.703272,10735
1691107200000,2023-08-04,STMXBUSD,0.006824,0.007756,0.006638,0.007545,637222580.0,4587781.918001,39592
1691020800000,2023-08-03,STMXBUSD,0.00629,0.006865,0.006012,0.006817,247471108.0,1608838.247587,13845
1690934400000,2023-08-02,STMXBUSD,0.006145,0.006744,0.006053,0.006285,329646817.0,2106240.413563,17391
1690848000000,2023-08-01,STMXBUSD,0.006201,0.006201,0.0058,0.006164,123426484.0,738552.923648,5452
1690761600000,2023-07-31,STMXBUSD,0.006631,0.006898,0.006064,0.006202,211329094.0,1330148.775407,9899
1690675200000,2023-07-30,STMXBUSD,0.007679,0.008212,0.006503,0.006644,381234591.0,2771782.672204,23617
1690588800000,2023-07-29,STMXBUSD,0.006569,0.008008,0.006513,0.007678,836135169.0,6234570.701511,48649
1690502400000,2023-07-28,STMXBUSD,0.005686,0.0082,0.005677,0.006559,998051700.0,6497327.682191,45363
1690416000000,2023-07-27,STMXBUSD,0.005908,0.006118,0.005604,0.005686,108499275.0,624338.803426,4803
1690329600000,2023-07-26,STMXBUSD,0.006015,0.00655,0.005658,0.005882,252350497.0,1518265.398073,11830
1690243200000,2023-07-25,STMXBUSD,0.006547,0.00665,0.00587,0.006019,181757273.0,1103240.175577,7316
1690156800000,2023-07-24,STMXBUSD,0.007068,0.007815,0.006044,0.006543,470709215.0,3237679.47124,23305
1690070400000,2023-07-23,STMXBUSD,0.008992,0.015416,0.006767,0.007062,2347914039.0,22494348.326037,155857
1689984000000,2023-07-22,STMXBUSD,0.006235,0.009432,0.005366,0.00901,1644320848.0,12018844.899522,93708
1689897600000,2023-07-21,STMXBUSD,0.004769,0.006577,0.004686,0.006239,733281926.0,4264460.885843,33999
1689811200000,2023-07-20,STMXBUSD,0.00478,0.004903,0.004659,0.004785,18294735.0,87035.713837,1201
1689724800000,2023-07-19,STMXBUSD,0.00491,0.00544,0.004632,0.004762,92144401.0,456670.447881,4170
1689638400000,2023-07-18,STMXBUSD,0.00463,0.005207,0.004358,0.004901,369678621.0,1799411.653307,13715
1689552000000,2023-07-17,STMXBUSD,0.004223,0.004791,0.004219,0.00462,96950054.0,441998.912038,4356
1689465600000,2023-07-16,STMXBUSD,0.004368,0.004509,0.004169,0.00423,18679331.0,81465.138352,1043
1689379200000,2023-07-15,STMXBUSD,0.004236,0.004434,0.004202,0.00437,28909351.0,127087.103967,1322
1689292800000,2023-07-14,STMXBUSD,0.004235,0.004393,0.004108,0.004236,11248372.0,47714.666619,712
1689206400000,2023-07-13,STMXBUSD,0.004083,0.004271,0.004009,0.004234,24858299.0,102648.48834,1473
1689120000000,2023-07-12,STMXBUSD,0.004173,0.004173,0.004027,0.004072,35553556.0,145474.739911,1387
1689033600000,2023-07-11,STMXBUSD,0.004208,0.0053,0.003937,0.004166,481791773.0,2199536.273981,18068
1688947200000,2023-07-10,STMXBUSD,0.004036,0.004247,0.003913,0.004172,19005794.0,77483.379061,776
1688860800000,2023-07-09,STMXBUSD,0.004004,0.004147,0.003999,0.004044,15183992.0,61892.263971,717
1688774400000,2023-07-08,STMXBUSD,0.00407,0.00407,0.003934,0.004027,8113003.0,32511.255423,420
1688688000000,2023-07-07,STMXBUSD,0.003955,0.004076,0.003902,0.004076,10589159.0,42062.139466,602
1688601600000,2023-07-06,STMXBUSD,0.004209,0.004209,0.003952,0.003954,17411060.0,70742.399715,935
1688515200000,2023-07-05,STMXBUSD,0.004218,0.004479,0.004125,0.004213,44190669.0,190699.596758,3156
1688428800000,2023-07-04,STMXBUSD,0.00414,0.004266,0.004068,0.004216,28914452.0,120618.168302,1309
1688342400000,2023-07-03,STMXBUSD,0.003989,0.004168,0.003958,0.00416,11094134.0,45311.171755,669
1688256000000,2023-07-02,STMXBUSD,0.004023,0.0041,0.003912,0.003989,27686315.0,110990.376648,1400
1688169600000,2023-07-01,STMXBUSD,0.003901,0.004025,0.003866,0.004025,23000381.0,91010.730661,1273
1688083200000,2023-06-30,STMXBUSD,0.003741,0.003936,0.003572,0.003901,31533863.0,120589.149351,1733
1687996800000,2023-06-29,STMXBUSD,0.003714,0.003805,0.003692,0.003744,10401327.0,38930.050458,668
1687910400000,2023-06-28,STMXBUSD,0.003995,0.003995,0.003709,0.003718,9626441.0,36800.664788,434
1687824000000,2023-06-27,STMXBUSD,0.003913,0.004025,0.003902,0.003994,8217208.0,32590.504576,276
1687737600000,2023-06-26,STMXBUSD,0.004008,0.004155,0.003839,0.003905,28623878.0,114430.460124,1416
1687651200000,2023-06-25,STMXBUSD,0.004044,0.004162,0.003954,0.004001,9205063.0,37250.341995,553
1687564800000,2023-06-24,STMXBUSD,0.003938,0.004047,0.003933,0.004043,7230657.0,28968.840223,245
1687478400000,2023-06-23,STMXBUSD,0.003788,0.003984,0.003759,0.003957,3733698.0,14482.471409,216
1687392000000,2023-06-22,STMXBUSD,0.003789,0.003981,0.003751,0.003779,7711670.0,29762.556446,372
1687305600000,2023-06-21,STMXBUSD,0.003581,0.003822,0.003581,0.003805,21670358.0,81088.163295,493
1687219200000,2023-06-20,STMXBUSD,0.003456,0.003583,0.003393,0.003557,8510707.0,29547.863375,236
1687132800000,2023-06-19,STMXBUSD,0.003393,0.00348,0.003359,0.00348,5271488.0,18020.733142,160
1687046400000,2023-06-18,STMXBUSD,0.003475,0.00349,0.003397,0.003405,4659778.0,16057.000701,182
1686960000000,2023-06-17,STMXBUSD,0.003465,0.00352,0.00344,0.00347,6295761.0,21892.258788,207
1686873600000,2023-06-16,STMXBUSD,0.003398,0.003479,0.003331,0.003468,8505761.0,28837.750635,268
1686787200000,2023-06-15,STMXBUSD,0.003326,0.003425,0.003243,0.003392,6927178.0,22894.665116,264
1686700800000,2023-06-14,STMXBUSD,0.003501,0.003517,0.003254,0.003334,6801284.0,23274.76676,282
1686614400000,2023-06-13,STMXBUSD,0.003544,0.003575,0.003429,0.003498,8450627.0,29603.461498,385
1686528000000,2023-06-12,STMXBUSD,0.003541,0.003562,0.00339,0.003545,11242546.0,39194.39811,316
1686441600000,2023-06-11,STMXBUSD,0.003492,0.003595,0.003477,0.003544,8126598.0,28623.029523,207
1686355200000,2023-06-10,STMXBUSD,0.004012,0.004012,0.003,0.003494,37429925.0,129353.453592,944
1686268800000,2023-06-09,STMXBUSD,0.003913,0.004166,0.003856,0.004024,17160065.0,69835.721571,562
1686182400000,2023-06-08,STMXBUSD,0.003902,0.003938,0.003779,0.003928,6386720.0,24711.883191,210
1686096000000,2023-06-07,STMXBUSD,0.004004,0.004219,0.00384,0.003892,42294129.0,172331.514334,1226
1686009600000,2023-06-06,STMXBUSD,0.003929,0.004061,0.003816,0.004045,15290819.0,60209.207888,962
1685923200000,2023-06-05,STMXBUSD,0.00432,0.00432,0.003893,0.003921,18710283.0,77098.857502,1230
1685836800000,2023-06-04,STMXBUSD,0.004333,0.004396,0.004302,0.004321,2170985.0,9442.453523,260
1685750400000,2023-06-03,STMXBUSD,0.004336,0.004668,0.004291,0.004334,15568524.0,68098.572565,788
1685664000000,2023-06-02,STMXBUSD,0.004189,0.004365,0.004141,0.004341,6790820.0,28792.730594,407
1685577600000,2023-06-01,STMXBUSD,0.004242,0.004291,0.004168,0.004189,6453539.0,27139.070506,365
1685491200000,2023-05-31,STMXBUSD,0.004364,0.004441,0.0042,0.004251,11469961.0,49133.127605,626
1685404800000,2023-05-30,STMXBUSD,0.004349,0.004402,0.004318,0.004372,9343327.0,40772.899707,527
1685318400000,2023-05-29,STMXBUSD,0.004443,0.004452,0.004325,0.004348,11979227.0,52417.096438,610
1685232000000,2023-05-28,STMXBUSD,0.004302,0.00447,0.004286,0.004446,9355662.0,40607.593107,505
1685145600000,2023-05-27,STMXBUSD,0.004266,0.004328,0.004233,0.004314,6401963.0,27391.97564,375
1685059200000,2023-05-26,STMXBUSD,0.00423,0.004293,0.004177,0.004274,10651569.0,44933.089868,636
1684972800000,2023-05-25,STMXBUSD,0.004293,0.004301,0.004126,0.004231,15928508.0,67223.612707,895
1684886400000,2023-05-24,STMXBUSD,0.004543,0.004543,0.004217,0.004281,24296160.0,105546.495033,1222
1684800000000,2023-05-23,STMXBUSD,0.00451,0.004612,0.004492,0.004549,11640107.0,52885.756188,699
1684713600000,2023-05-22,STMXBUSD,0.004554,0.004583,0.004425,0.00451,15331346.0,68929.002574,900
1684627200000,2023-05-21,STMXBUSD,0.004684,0.004684,0.004531,0.004542,13356779.0,61191.288663,794
1684540800000,2023-05-20,STMXBUSD,0.004634,0.004699,0.00462,0.004699,19582699.0,91193.21354,803
1684454400000,2023-05-19,STMXBUSD,0.004584,0.004653,0.004556,0.004623,30007376.0,138316.401244,1455
1684368000000,2023-05-18,STMXBUSD,0.00465,0.004662,0.004504,0.004599,31363206.0,144045.124297,1367
1684281600000,2023-05-17,STMXBUSD,0.004597,0.004671,0.004501,0.004648,43365270.0,198924.078681,1699
1684195200000,2023-05-16,STMXBUSD,0.00457,0.00461,0.004492,0.004601,30889659.0,140568.753735,1324
1684108800000,2023-05-15,STMXBUSD,0.004536,0.004592,0.004459,0.004575,20926218.0,94999.349959,831
1684022400000,2023-05-14,STMXBUSD,0.004524,0.004556,0.004443,0.004529,34799743.0,156393.715657,1225
1683936000000,2023-05-13,STMXBUSD,0.004584,0.0046,0.004479,0.004513,50963675.0,229870.874601,1891
1683849600000,2023-05-12,STMXBUSD,0.004672,0.004672,0.00435,0.00457,67793851.0,304070.66559,2805
1683763200000,2023-05-11,STMXBUSD,0.004836,0.004836,0.004559,0.004683,69222898.0,325933.163047,2080
1683676800000,2023-05-10,STMXBUSD,0.004742,0.004873,0.004524,0.004833,73480688.0,346399.500875,2419
1683590400000,2023-05-09,STMXBUSD,0.00473,0.005027,0.004653,0.004757,79239848.0,383648.273867,2962
1683504000000,2023-05-08,STMXBUSD,0.005256,0.005388,0.004608,0.004732,139471394.0,687638.590115,5263
1683417600000,2023-05-07,STMXBUSD,0.005426,0.006515,0.005226,0.005247,667647374.0,3945819.063958,25236
1683331200000,2023-05-06,STMXBUSD,0.005352,0.005532,0.005134,0.005416,92594190.0,495563.463521,4182
1683244800000,2023-05-05,STMXBUSD,0.005273,0.00536,0.00522,0.005357,46543158.0,246208.080645,1666
1683158400000,2023-05-04,STMXBUSD,0.0053,0.00532,0.005219,0.005271,38422209.0,202351.586785,1278
1683072000000,2023-05-03,STMXBUSD,0.005336,0.005356,0.005148,0.005305,49135651.0,258810.181194,1645
