https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1663804800000,2022-09-22,POLYBTC,1.047e-05,1.084e-05,1.026e-05,1.04e-05,653818.0,6.8629569,1462
1663718400000,2022-09-21,POLYBTC,1.029e-05,1.224e-05,9.96e-06,1.049e-05,5867772.0,62.96900076,9213
1663632000000,2022-09-20,POLYBTC,1.032e-05,1.032e-05,1.005e-05,1.026e-05,330056.0,3.35830923,743
1663545600000,2022-09-19,POLYBTC,1.014e-05,1.098e-05,1.001e-05,1.034e-05,2027895.0,21.02037421,3343
1663459200000,2022-09-18,POLYBTC,1.099e-05,1.177e-05,9.84e-06,1.015e-05,5502902.0,59.96533232,7685
1663372800000,2022-09-17,POLYBTC,1.104e-05,1.15e-05,1.082e-05,1.098e-05,3453298.0,38.35451419,3186
1663286400000,2022-09-16,POLYBTC,1.206e-05,1.222e-05,1.076e-05,1.099e-05,2981525.0,33.68648147,5237
1663200000000,2022-09-15,POLYBTC,1.22e-05,1.345e-05,1.178e-05,1.206e-05,5079292.0,64.54311835,8961
1663113600000,2022-09-14,POLYBTC,1.201e-05,1.283e-05,1.19e-05,1.22e-05,2738926.0,33.78334104,5755
1663027200000,2022-09-13,POLYBTC,1.183e-05,1.276e-05,1.112e-05,1.199e-05,2754402.0,32.40242308,4870
1662940800000,2022-09-12,POLYBTC,1.319e-05,1.43e-05,1.167e-05,1.182e-05,7941013.0,103.25709058,14886
1662854400000,2022-09-11,POLYBTC,1.287e-05,1.519e-05,1.259e-05,1.32e-05,9239358.0,127.22578087,20901
1662768000000,2022-09-10,POLYBTC,1.284e-05,1.654e-05,1.205e-05,1.289e-05,9416505.0,129.43828719,25133
1662681600000,2022-09-09,POLYBTC,1.897e-05,2e-05,1.196e-05,1.289e-05,21984670.0,329.96557173,53037
1662595200000,2022-09-08,POLYBTC,9.42e-06,2.534e-05,9.37e-06,1.899e-05,37723392.0,725.59239608,88633
1662508800000,2022-09-07,POLYBTC,9.36e-06,9.52e-06,9.21e-06,9.39e-06,838896.0,7.83482704,1631
1662422400000,2022-09-06,POLYBTC,9.56e-06,9.63e-06,9.34e-06,9.36e-06,333601.0,3.16075628,1058
1662336000000,2022-09-05,POLYBTC,9.52e-06,9.59e-06,9.35e-06,9.55e-06,274530.0,2.59292142,1683
1662249600000,2022-09-04,POLYBTC,9.55e-06,9.59e-06,9.49e-06,9.51e-06,408434.0,3.89581065,1926
1662163200000,2022-09-03,POLYBTC,9.5e-06,9.56e-06,9.41e-06,9.56e-06,121008.0,1.14672792,727
1662076800000,2022-09-02,POLYBTC,9.51e-06,9.84e-06,9.44e-06,9.51e-06,452661.0,4.33814922,3511
