https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINA,Volume USDT,tradecount
1693785600000,2023-09-04,LINAUSDT,0.010146,0.0104,0.010067,0.010255,423141828.09,4330289.25319297,17067
1693699200000,2023-09-03,LINAUSDT,0.010209,0.010526,0.009911,0.010145,511566406.86,5233646.12333879,18946
1693612800000,2023-09-02,LINAUSDT,0.009995,0.010287,0.009826,0.010206,376758368.08,3781905.29950219,14952
1693526400000,2023-09-01,LINAUSDT,0.010183,0.010347,0.0097,0.009988,563925634.7,5648629.53642013,21247
1693440000000,2023-08-31,LINAUSDT,0.010712,0.010836,0.009991,0.010189,519429770.67,5414530.12900237,20495
1693353600000,2023-08-30,LINAUSDT,0.010921,0.011062,0.010519,0.010712,421496834.29,4540830.67350587,19959
1693267200000,2023-08-29,LINAUSDT,0.010416,0.011236,0.010076,0.010919,898894091.13,9565903.91461147,31542
1693180800000,2023-08-28,LINAUSDT,0.010259,0.010967,0.009985,0.010407,765138396.02,8014949.63439551,34804
1693094400000,2023-08-27,LINAUSDT,0.010124,0.010289,0.010024,0.010259,244688609.89,2487122.56430088,11418
1693008000000,2023-08-26,LINAUSDT,0.010205,0.010612,0.010076,0.010126,369404629.97,3820279.11768209,16925
1692921600000,2023-08-25,LINAUSDT,0.010627,0.010673,0.009894,0.01021,504120866.62,5098624.73494725,22404
1692835200000,2023-08-24,LINAUSDT,0.01112,0.011148,0.010391,0.010629,386329505.09,4146801.33997963,19591
1692748800000,2023-08-23,LINAUSDT,0.010719,0.011262,0.010604,0.011116,501316927.92,5474378.04474919,21621
1692662400000,2023-08-22,LINAUSDT,0.010797,0.010834,0.010086,0.010719,689983291.74,7282583.3826155,30228
1692576000000,2023-08-21,LINAUSDT,0.011485,0.011554,0.010755,0.0108,1143012429.36,12679608.0372539,39623
1692489600000,2023-08-20,LINAUSDT,0.01182,0.0119,0.011433,0.011486,273803877.98,3202132.28603101,12342
1692403200000,2023-08-19,LINAUSDT,0.011685,0.0121,0.011648,0.011821,353991765.96,4178631.26169322,15268
1692316800000,2023-08-18,LINAUSDT,0.011674,0.012022,0.01148,0.011689,519984979.98,6101534.78225522,22068
1692230400000,2023-08-17,LINAUSDT,0.012816,0.013095,0.010056,0.011664,697180998.55,8524467.5449147,33103
1692144000000,2023-08-16,LINAUSDT,0.01447,0.014482,0.0126,0.012809,724182821.38,9804201.54181053,38502
1692057600000,2023-08-15,LINAUSDT,0.015013,0.01543,0.013929,0.014466,625345084.06,9308053.29285932,34609
1691971200000,2023-08-14,LINAUSDT,0.015215,0.01542,0.0149,0.015012,292845360.01,4429254.21649245,16029
1691884800000,2023-08-13,LINAUSDT,0.014472,0.0156,0.014472,0.015215,675057667.78,10271431.2103851,32057
1691798400000,2023-08-12,LINAUSDT,0.014837,0.015019,0.014363,0.014472,305774761.76,4473057.99537476,15278
1691712000000,2023-08-11,LINAUSDT,0.01416,0.014882,0.014151,0.01484,625362333.33,9157551.80448152,33036
1691625600000,2023-08-10,LINAUSDT,0.013835,0.014211,0.013705,0.01416,229165077.33,3211469.22256226,13703
1691539200000,2023-08-09,LINAUSDT,0.013798,0.014192,0.013679,0.013835,312062708.52,4342684.70644465,18420
1691452800000,2023-08-08,LINAUSDT,0.014417,0.014475,0.013789,0.013802,490107145.3,6964061.63724892,24595
1691366400000,2023-08-07,LINAUSDT,0.01348,0.01467,0.013406,0.014421,897786642.04,12751262.95861114,50827
1691280000000,2023-08-06,LINAUSDT,0.013696,0.013929,0.013283,0.013481,390561673.51,5324053.5575143,19129
1691193600000,2023-08-05,LINAUSDT,0.013897,0.014549,0.013651,0.013692,517329081.02,7276825.51732961,30083
1691107200000,2023-08-04,LINAUSDT,0.013287,0.014036,0.013155,0.013896,510828051.31,7021054.89022502,25771
1691020800000,2023-08-03,LINAUSDT,0.013461,0.013788,0.013171,0.013287,551238962.28,7425474.00017292,30338
1690934400000,2023-08-02,LINAUSDT,0.013333,0.013527,0.013112,0.013458,454711121.48,6060755.96203758,23474
1690848000000,2023-08-01,LINAUSDT,0.012884,0.013358,0.0125,0.013329,483832741.04,6301589.40737812,24734
1690761600000,2023-07-31,LINAUSDT,0.012718,0.013135,0.012677,0.012884,238712641.3,3071569.50180909,15877
1690675200000,2023-07-30,LINAUSDT,0.012952,0.012998,0.012367,0.012724,237843176.17,3036774.59389838,13501
1690588800000,2023-07-29,LINAUSDT,0.013066,0.013175,0.012829,0.012952,159744768.9,2071266.83110009,10247
1690502400000,2023-07-28,LINAUSDT,0.012574,0.01332,0.012551,0.013066,348777702.01,4500862.00484851,24815
1690416000000,2023-07-27,LINAUSDT,0.012414,0.012725,0.012343,0.012585,236823562.27,2965290.6726555,14698
1690329600000,2023-07-26,LINAUSDT,0.012296,0.012627,0.012118,0.012423,274257763.91,3377485.31647964,18477
1690243200000,2023-07-25,LINAUSDT,0.012375,0.012578,0.012186,0.012298,419066389.75,5179463.39367823,21552
1690156800000,2023-07-24,LINAUSDT,0.013218,0.01326,0.01208,0.012375,489782643.24,6197925.9125336,33099
1690070400000,2023-07-23,LINAUSDT,0.013417,0.013505,0.013116,0.013222,356098135.59,4737465.25850328,18942
1689984000000,2023-07-22,LINAUSDT,0.013253,0.014233,0.013253,0.013411,870576312.16,11941715.4147754,56565
1689897600000,2023-07-21,LINAUSDT,0.013014,0.013374,0.012916,0.013252,257163255.77,3386269.78049726,19808
1689811200000,2023-07-20,LINAUSDT,0.01303,0.013449,0.012852,0.013019,350764266.21,4622907.86925102,21774
1689724800000,2023-07-19,LINAUSDT,0.01332,0.013683,0.013025,0.013031,290727563.3,3886178.00617075,25138
1689638400000,2023-07-18,LINAUSDT,0.013551,0.013715,0.013006,0.01332,309043326.37,4142595.53945672,29323
1689552000000,2023-07-17,LINAUSDT,0.013378,0.01368,0.0131,0.013551,398789946.01,5357429.68928259,26399
1689465600000,2023-07-16,LINAUSDT,0.014183,0.014251,0.013305,0.013378,330839602.5,4557386.67016873,23315
1689379200000,2023-07-15,LINAUSDT,0.014248,0.014579,0.013976,0.014183,337057952.97,4817537.36170894,21204
1689292800000,2023-07-14,LINAUSDT,0.014359,0.01535,0.013764,0.014249,872133489.31,12656557.94514318,74552
1689206400000,2023-07-13,LINAUSDT,0.013477,0.01452,0.013235,0.014357,938881591.08,13086579.8082284,62001
1689120000000,2023-07-12,LINAUSDT,0.014147,0.014272,0.013325,0.013477,769279325.98,10616171.13797068,45061
1689033600000,2023-07-11,LINAUSDT,0.013497,0.014488,0.013356,0.014142,1400610446.76,19775667.75206798,136688
1688947200000,2023-07-10,LINAUSDT,0.013516,0.013799,0.01296,0.013493,536666721.46,7142235.5333692,48773
1688860800000,2023-07-09,LINAUSDT,0.013316,0.013995,0.013283,0.013517,761128467.61,10317298.97729716,47620
1688774400000,2023-07-08,LINAUSDT,0.012983,0.013548,0.012928,0.013316,741595738.73,9813203.26349914,42290
1688688000000,2023-07-07,LINAUSDT,0.012744,0.013065,0.012501,0.012982,496485551.08,6347347.95795124,27927
1688601600000,2023-07-06,LINAUSDT,0.013007,0.01353,0.01262,0.012743,789279197.31,10382614.81025756,47061
1688515200000,2023-07-05,LINAUSDT,0.01344,0.013545,0.012668,0.013004,831995981.97,10928117.59419193,52622
1688428800000,2023-07-04,LINAUSDT,0.013947,0.014036,0.013157,0.013438,946999872.59,12954474.8655483,48746
1688342400000,2023-07-03,LINAUSDT,0.014036,0.014479,0.013756,0.013942,943615838.64,13272793.81000192,54009
1688256000000,2023-07-02,LINAUSDT,0.014398,0.014714,0.01355,0.014028,968973411.95,13635102.17805513,51995
1688169600000,2023-07-01,LINAUSDT,0.013705,0.0145,0.01347,0.014396,887637488.26,12349014.16796393,49076
1688083200000,2023-06-30,LINAUSDT,0.01398,0.01457,0.012552,0.013712,1607711732.31,22152097.22851273,93473
1687996800000,2023-06-29,LINAUSDT,0.014282,0.014752,0.013769,0.013984,1292617614.89,18494499.33978955,68249
1687910400000,2023-06-28,LINAUSDT,0.015021,0.016,0.013915,0.014283,2576605264.56,38477135.15462109,147437
1687824000000,2023-06-27,LINAUSDT,0.015257,0.015368,0.014519,0.015017,1823186558.92,27158134.70333666,129760
1687737600000,2023-06-26,LINAUSDT,0.013628,0.016383,0.013221,0.015249,5659642920.29,87109048.11080702,372461
1687651200000,2023-06-25,LINAUSDT,0.013427,0.01425,0.013333,0.01363,943860277.32,12991158.22884904,57574
1687564800000,2023-06-24,LINAUSDT,0.014414,0.01482,0.01316,0.013428,1217551135.69,16962965.85748538,65324
1687478400000,2023-06-23,LINAUSDT,0.013901,0.0149,0.01335,0.014412,2011891977.83,28585803.32337127,141700
1687392000000,2023-06-22,LINAUSDT,0.014642,0.01525,0.013868,0.0139,1889703322.86,27531107.39400794,111453
1687305600000,2023-06-21,LINAUSDT,0.01382,0.016071,0.013674,0.014643,3930976486.76,58046570.68077216,251243
1687219200000,2023-06-20,LINAUSDT,0.013433,0.014125,0.012929,0.013823,1694095612.32,22799375.90740237,120246
1687132800000,2023-06-19,LINAUSDT,0.012947,0.01417,0.012649,0.013431,1819526446.14,24200323.95762047,130883
1687046400000,2023-06-18,LINAUSDT,0.014013,0.014236,0.012567,0.012947,1632459114.39,22215204.06324881,96019
1686960000000,2023-06-17,LINAUSDT,0.0139,0.014855,0.013447,0.014013,1936290487.9,27495527.53250951,107480
1686873600000,2023-06-16,LINAUSDT,0.01402,0.014789,0.013245,0.013901,2053746554.04,28467675.01581093,156626
1686787200000,2023-06-15,LINAUSDT,0.014937,0.015455,0.01314,0.014013,3156777048.57,44782699.4328793,195019
1686700800000,2023-06-14,LINAUSDT,0.014667,0.016629,0.01418,0.014937,4781539499.42,72357098.60821956,272892
1686614400000,2023-06-13,LINAUSDT,0.016846,0.018228,0.014056,0.014668,7708966029.36,121500088.06863251,420252
1686528000000,2023-06-12,LINAUSDT,0.012308,0.01862,0.011999,0.016838,7008593008.96,101980916.55213466,395838
1686441600000,2023-06-11,LINAUSDT,0.010005,0.012865,0.009847,0.012311,4733724851.48,56064812.28284744,255190
1686355200000,2023-06-10,LINAUSDT,0.012714,0.01282,0.00956,0.010008,2912338801.96,30468332.67397066,138409
1686268800000,2023-06-09,LINAUSDT,0.012425,0.013111,0.012222,0.012709,1902773129.17,23876612.87630742,99620
1686182400000,2023-06-08,LINAUSDT,0.012746,0.012854,0.011837,0.012425,1601861677.79,19801849.06077919,102514
1686096000000,2023-06-07,LINAUSDT,0.014586,0.014586,0.012317,0.012749,1935102252.62,25605165.77752683,113163
